0,0.063012004,250,98,true
1,0.091606006,250,98,true
2,0.125671,250,98,true
3,0.15882,250,98,true
4,0.19214499,250,98,true
5,0.22539699,250,98,true
6,0.258934,250,98,true
7,0.291321,250,98,true
8,0.325871,250,98,true
9,0.358641,250,98,true
10,0.39225402,250,98,true
11,0.42562,250,98,true
12,0.458961,250,98,true
13,0.493496,250,98,true
14,0.52469397,250,97,true
15,0.56048,250,97,true
16,0.59317404,250,96,true
17,0.627063,250,95,true
18,0.659633,250,95,true
19,0.69424105,250,95,true
20,0.728399,250,91,true
21,0.7606,248,86,true
22,0.793039,248,83,true
23,0.826832,247,83,true
24,0.85957897,247,83,true
25,0.89296603,247,83,true
26,0.92619,247,83,true
27,0.96089995,246,83,true
28,0.993558,245,83,true
29,1.027213,245,83,true
30,1.060143,244,83,true
31,1.093259,243,83,true
32,1.127224,243,83,true
33,1.160068,243,83,true
34,1.193347,243,83,true
35,1.22752,243,83,true
36,1.259864,243,83,true
37,1.292947,243,83,true
38,1.327177,243,83,true
39,1.360464,243,83,true
40,1.3938301,243,83,true
41,1.426744,243,83,true
42,1.460911,243,83,true
43,1.49358,243,83,true
44,1.526114,243,83,true
45,1.559793,244,83,true
46,1.5933721,249,83,true
47,1.6268251,262,87,true
48,1.659625,262,87,true
49,1.692949,270,88,true
50,1.726457,277,89,true
51,1.759804,279,89,true
52,1.7930369,281,90,true
53,1.8264999,284,90,true
54,1.85971,288,90,true
55,1.893512,301,90,true
56,1.926786,306,90,true
57,1.959638,313,90,true
58,1.993041,318,91,true
59,2.027085,322,91,true
60,2.059926,327,91,true
61,2.093364,331,91,true
62,2.126089,331,91,true
63,2.160204,337,93,true
64,2.192903,339,93,true
65,2.226216,342,95,true
66,2.259883,346,97,true
67,2.293386,347,97,true
68,2.327028,347,98,true
69,2.360107,348,98,true
70,2.393117,351,99,true
71,2.427004,354,100,true
72,2.459794,357,100,true
73,2.493015,360,100,true
74,2.5264568,361,100,true
75,2.560621,364,100,true
76,2.5931091,366,100,true
77,2.626347,368,100,true
78,2.659459,369,100,true
79,2.693852,369,100,true
80,2.726268,369,100,true
81,2.760473,369,100,true
82,2.79275,369,100,true
83,2.826386,369,100,true
84,2.859582,369,100,true
